"old_url","final_route","local_file","type","content_status","image_status","seo_status","duplicate_status","redirect_status","validation_status","notes"
"https://esteemenergy.com.au/about-us/","/about-us/","about-us\index.html","page","present","needs audit","present","none","none","needs HTTP crawl","About"
"https://esteemenergy.com.au/","/","index.html","page","present","present","present","none","none","needs HTTP crawl","Home | mapped local route: /"
"https://esteemenergy.com.au/reviews/","/reviews/","reviews\index.html","page","present","present","present","none","none","needs HTTP crawl","Reviews | mapped local route: /reviews/"
"https://esteemenergy.com.au/contact-us/","/contact-us/","contact-us\index.html","page","present","present","present","none","none","needs HTTP crawl","Contact Us | mapped local route: /contact/"
"https://esteemenergy.com.au/products/","/products/","products\index.html","page","present","present","present","none","none","needs HTTP crawl","Products"
"https://esteemenergy.com.au/packages/","/packages/","packages\index.html","page","present/runtime","runtime/unknown","missing description","none","none","needs HTTP crawl","Packages | mapped local route: /pricing/"
"https://esteemenergy.com.au/growatt-inverter/","/growatt-inverter/","growatt-inverter\index.html","page","present","runtime/unknown","present","none","none","needs HTTP crawl","Growatt inverter"
"https://esteemenergy.com.au/ht-panels-415w/","/ht-panels-415w/","ht-panels-415w\index.html","page","present","runtime/unknown","present","none","none","needs HTTP crawl","HT Panels 415w"
"https://esteemenergy.com.au/solis-inverter/","/solis-inverter/","solis-inverter\index.html","page","present","runtime/unknown","present","none","none","needs HTTP crawl","Solis Inverter"
"https://esteemenergy.com.au/fronius-inverter/","/fronius-inverter/","fronius-inverter\index.html","page","present","runtime/unknown","present","none","none","needs HTTP crawl","Fronius inverter"
"https://esteemenergy.com.au/trina-415w/","/trina-415w/","trina-415w\index.html","page","present","runtime/unknown","present","none","none","needs HTTP crawl","Trina 415w"
"https://esteemenergy.com.au/jinko-440w/","/jinko-440w/","jinko-440w\index.html","page","present","runtime/unknown","present","none","none","needs HTTP crawl","Jinko 440w"
"https://esteemenergy.com.au/privacy-policy/","/privacy-policy/","privacy-policy\index.html","page","present","runtime/unknown","present","none","none","needs HTTP crawl","Privacy Policy"
"https://esteemenergy.com.au/blogs/","/blogs/","blogs\index.html","page","present","present","present","none","none","needs HTTP crawl","Blogs | mapped local route: /blogs/"
"https://esteemenergy.com.au/solar-panel-installation/","/solar-panel-installation/","installation/index.html","page","present/runtime","runtime/unknown","present","none","none","needs HTTP crawl","Solar Panel Installation | mapped local route: /installation/"
"https://esteemenergy.com.au/residential-solar-panel/","/residential-solar-panel/","residential-solar-panel\index.html","page","present","runtime/unknown","present","none","none","needs HTTP crawl","Residential Solar Panel"
"https://esteemenergy.com.au/residential-solar-panel-system/","/residential-solar-panel-system/","residential-solar/index.html","page","present/runtime","runtime/unknown","present","none","none","needs HTTP crawl","Residential Solar Panel System | mapped local route: /residential-solar/"
"https://esteemenergy.com.au/13-3-kw-solar-system/","/13-3-kw-solar-system/","13-2-kw-solar-system/index.html","page","present/runtime","runtime/unknown","present","none","none","needs HTTP crawl","13.3 kw Solar System | mapped local route: /13-2-kw-solar-system/"
"https://esteemenergy.com.au/10-5-kw-solar-system/","/10-5-kw-solar-system/","10-5-kw-solar-system\index.html","page","present/runtime","runtime/unknown","present","none","none","needs HTTP crawl","10.5 KW Solar System"
"https://esteemenergy.com.au/6-6-kw-solar-system/","/6-6-kw-solar-system/","6-6-kw-solar-system\index.html","page","present","present","present","none","none","needs HTTP crawl","6.6 KW Solar System | mapped local route: /6-6-kw-solar-system/"
"https://esteemenergy.com.au/19-5-kw-solar-system/","/19-5-kw-solar-system/","19-5-kw-solar-system\index.html","page","present/runtime","runtime/unknown","present","none","none","needs HTTP crawl","19.5 kW Solar System"
"https://esteemenergy.com.au/solar-panel-battery/","/solar-panel-battery/","solar-panel-battery\index.html","page","present","runtime/unknown","present","none","none","needs HTTP crawl","Solar Panel Battery"
"https://esteemenergy.com.au/support-lounge/","/support-lounge/","support-lounge\index.html","page","present","runtime/unknown","present","none","none","needs HTTP crawl","Support Lounge"
"https://esteemenergy.com.au/our-gallery/","/our-gallery/","our-gallery\index.html","page","present","present","present","none","none","needs HTTP crawl","Our Gallery | mapped local route: /our-gallery/"
"https://esteemenergy.com.au/eging-440-w/","/eging-440-w/","eging-440-w\index.html","page","present","runtime/unknown","present","none","none","needs HTTP crawl","EGING 440 w"
"https://esteemenergy.com.au/tongwei-440-w/","/tongwei-440-w/","tongwei-440-w\index.html","page","present","runtime/unknown","present","none","none","needs HTTP crawl","Tongwei 440 W"
"https://esteemenergy.com.au/risen-440w/","/risen-440w/","risen-440w\index.html","page","present","runtime/unknown","present","none","none","needs HTTP crawl","Risen 440w"
"https://esteemenergy.com.au/solar-panel-installation-sydney/","/solar-panel-installation-sydney/","solar-panel-installation-sydney\index.html","page","present","runtime/unknown","present","none","none","needs HTTP crawl","Solar Panel Installation Sydney â€“ Elevate Your Energy with Esteem Energy"
